,principal component 1,principal component 2,principal component 3,principal component 4,LA,minisom_cluster,,cluster info
165,-0.331241642,-0.890397849,-0.054945531,-0.238407255,Carmarthenshire,5,,
166,0.577136809,-0.912582038,-0.486364873,0.385912429,Cheshire East,5,,
167,-1.521265163,-0.074194089,0.003525293,-0.525055544,Cheshire West and Chester,5,,
168,-1.039237008,0.937040921,0.765153673,0.053929179,Chesterfield,5,,
169,-1.10564162,-2.108819069,-0.3438643,0.612661002,Conwy,5,,
170,3.177062484,0.300711367,0.059602798,-1.614404522,Cotswold,5,,
171,-0.9962228,0.606990303,0.185043014,-0.907637488,Dacorum,5,,
172,-1.355143034,1.405825644,-0.583027749,-0.439634026,Dartford,5,,
173,-0.546290031,0.288621252,-0.32342468,0.077895263,Derbyshire Dales,5,,
174,1.14994715,-1.744279618,0.10993459,0.436955205,Dover,5,,
175,1.017446686,-1.434187072,-0.584046717,0.086953036,East Staffordshire,5,,
176,-1.182543295,0.482866601,0.884303516,-0.868697042,Epsom and Ewell,5,,
177,-1.919831488,0.413750259,0.54868259,-0.342147013,Fenland,5,,
178,-1.490528267,-1.361999939,-0.161157593,0.166907259,Fylde,5,,
179,-2.59247766,0.364284561,0.922292423,-0.52910413,Gravesham,5,,
180,-0.753385712,0.966806642,-0.78079953,0.212743939,Guildford,5,,
181,2.666956945,-0.669710164,0.115391767,0.946371452,Hackney,5,,
182,-0.135507945,-0.166536928,1.676278113,0.239024627,Hart,5,,
183,4.935363819,-1.654233729,-0.214178609,-0.79275918,Hartlepool,5,,
184,0.157753083,-1.220579403,-1.151610584,0.73451177,Havering,5,,
185,-1.106699145,1.641945455,-0.188691854,-0.295096836,Hertsmere,5,,
186,-1.587678239,0.252050866,-0.083180068,-0.690806217,Hillingdon,5,,
187,-1.249971744,-2.048263504,0.509770677,0.285575266,Ipswich,5,,
188,-0.083487521,-0.461894228,0.786387879,-0.964623357,Mendip,5,,
189,-0.58489977,1.766500832,-0.292480655,-0.773334036,Monmouthshire,5,,
190,-1.396379583,-1.445240775,-0.07595152,0.215049145,North East Derbyshire,5,,
191,-3.207846746,2.050997199,0.840746605,-0.695634773,North Kesteven,5,,
192,-0.197591165,-0.347901744,0.243133755,2.119789576,North Northamptonshire,5,,
193,-1.629968616,-0.134061282,-0.003462119,0.087300754,North Somerset,5,,
194,-1.335949073,-0.883118707,-0.496942073,0.114254806,North West Leicestershire,5,,
195,-0.628986839,0.681905468,-0.743829224,-0.553386379,Nottingham,5,,
196,-0.51341617,0.564452722,-1.673787301,0.01250211,Oxford,5,,
197,-2.654316811,-0.251492459,-1.068439981,-0.279840882,Redbridge,5,,
198,2.962397179,0.991669753,1.35638171,-0.443604657,Reigate and Banstead,5,,
199,4.779074707,0.988939822,-0.183787383,1.558059053,Rother,5,,
200,-0.502570121,-0.946802229,-0.240699258,-0.225506633,Scarborough,5,,
201,0.621973653,1.180047696,2.371694711,-0.307384064,Sedgemoor,5,,
202,0.631489778,-2.167050589,-0.73232791,0.626789942,South Oxfordshire,5,,
203,7.023936745,2.617028755,3.381722679,3.739785807,South Staffordshire,5,,
204,-2.341310031,-0.221449756,-0.237349413,0.309764711,St Albans,5,,
205,0.257829978,-1.643391544,-0.787907794,0.385755885,Stevenage,5,,
